category,Business Name,phone,address,website,member_since,Status
attorneys-&-legal-services,Cole Schotz P.C.,(646) 563-8945,,https://www.coleschotz.com/,Member Since: 2025,Processed
attorneys-&-legal-services,Cuddy & Feder LLP,(914) 761-1300,"445 Hamilton Avenue 14th Floor, White Plains, NY 10601",https://www.cuddyfeder.com/,Member Since: 1996,Processed
attorneys-&-legal-services,Cullen and Dykman LLP,(212) 701-4175,"One Battery Park Plaza 34th Floor, New York, NY 10004",https://www.cullenllp.com/,Member Since: 2018,Processed
attorneys-&-legal-services,"DelBello Donnellan Weingarten Wise & Wiederkehr, LLP",(914) 681-0200,"360 Hamilton Avenue 10th Floor, White Plains, NY 10601",https://www.ddw-law.com/,Member Since: 1993,Processed
attorneys-&-legal-services,"Dimopoulos Law Firm, P.C.",(914) 472-4242,"73 Main Street, Tuckahoe, NY 10707",https://www.dimolaw.com/,Member Since: 2025,Processed
attorneys-&-legal-services,Dorf Nelson & Zauderer LLP,,"The International Corporate Center at Rye 555 Theodore Fremd Avenue, Rye, NY 10580",https://www.dorflaw.com/,Member Since: 1999,Processed
attorneys-&-legal-services,Driscoll George LLP,(845) 634-6291,"521 Route 304 Building 2, Bardonia, NY 10954",https://www.driscollgeorge.com/,Member Since: 2024,Processed
attorneys-&-legal-services,Falcon Rappaport & Berkman LLP,(914) 666-5600,"55 Smith Avenue, Mt Kisco, NY 10549",https://www.frblaw.com/,Member Since: 2002,Processed
attorneys-&-legal-services,Fullerton Beck LLP,,"4 W Red Oak Lane Suite 203, White Plains, NY 10604",https://www.fullertonbeck.com/,Member Since: 2018,Processed
attorneys-&-legal-services,Goetz Platzer LLP,,,,Member Since: 2025,Processed
attorneys-&-legal-services,"Greenberg Traurig, LLP",(914) 286-2900,"One North Lexington Avenue Suite 800, White Plains, NY 10601",https://www.gtlaw.com/,Member Since: 2014,Processed
attorneys-&-legal-services,Harris Beach Murtha Cullina PLLC,,"445 Hamilton Avenue Suite 1206, White Plains, NY 10601",https://www.harrisbeach.com/,Member Since: 2021,Processed
attorneys-&-legal-services,"Henner Law Group, P.C.",,"222 Bloomingdale Road Suite 308, White Plains, NY 10605",https://whiteplainsimmigrationlawyer.com/,Member Since: 2025,Processed
attorneys-&-legal-services,Hudson Valley Estate Planning PLLC,,"101 Legend Drive #3411, Sleepy Hollow, NY 10591",https://www.secureyourlegend.com/,Member Since: 2024,Processed
audio-video-productions-&-services,Ambassador Event Production,1 (800) 835-8004,"260 6th St U21, Verplanck, NY 10596",https://www.a-e-p.com/,Member Since: 2025,Processed
audio-video-productions-&-services,Bruck Studios,(845) 379-0646,,https://www.bruckstudios.com/,Member Since: 2025,Processed
audio-video-productions-&-services,Dancing Camera,(217) 493-1594,"145 Palisade St. Suite 412A, Dobbs Ferry, NY 10522",https://www.dancingcamera.com/,Member Since: 2024,Processed
audio-video-productions-&-services,LMC Media,(914) 381-2002,"740 W. Boston Post Rd. Suite 311, Mamaroneck, NY 10543",https://www.lmcmedia.org/,Member Since: 2024,Processed
audio-video-productions-&-services,"Sharc Creative, Inc.",(866) 742-7299,"PO Box 517, Purchase, NY 10577",https://www.sharconhold.com/,Member Since: 2002,Processed
audio-video-productions-&-services,The Film Gallery,,"310 Auburn Court, Fishkill, NY 12524",,Member Since: 2013,Processed
audio-video-productions-&-services,The Film Grotto LLC,(917) 870-2522,"133 Hilltop Acres Unit 133, Yonkers, NY 10704",https://www.thefilmgrotto.com/,Member Since: 2024,Processed
audio-video-productions-&-services,Ultracom Video Productions,,"PO Box 103 235 Garth Rd. E4H, Scarsdale, NY 10583",https://www.imdb.com/name/nm1621438/,Member Since: 2023,Processed
audio-video-productions-&-services,VeeKast,(914) 703-8356,"10 Mitchell Pl. Suite 104, White Plains, NY 10601",https://www.veekast.com/,Member Since: 2013,Processed
audio-video-productions-&-services,"Weinrib & Connor, Inc.",,"297 Knollwood Road The Penthouse, White Plains, NY 10607",https://www.weinconn.com/,Member Since: 2021,Processed
audio-video-productions-&-services,Content Machine,,"10 County Center Road #305, White Plains, NY 10607",https://www.contentmachinellc.com/,Member Since: 2023,Processed
audio-video-productions-&-services,Corporate Audio Visual Services,"Corporate Audio Visual Services (Corporate AV) is an award winning specialist for live and virtual event productions. For 35 years, Corporate AV has developed solutions designed to help our clients communicate to their clients.","111 North Lawn Avenue, Elmsford, NY 10523",https://www.corporate-av.com/,Member Since: 2004,Processed
audio-video-productions-&-services,Enormous Creative,,"32 N. Division Street, Peekskill, NY 10566",https://www.enormouscreative.com/,Member Since: 2019,Processed
audio-video-productions-&-services,Halbo Media LLC,,"3 Elizabeth Court, Briarcliff Manor, NY 10510",https://www.halbomedia.com/,,Processed
audio-video-productions-&-services,Headshots Hero,,,https://www.headshotshero.com/,Member Since: 2022,Processed
audio-video-productions-&-services,KVL Audio Visual Services,(914) 479-3300,"200 Corporate Boulevard South, Yonkers, NY 10701",https://www.kvlav.com/,Member Since: 2005,Processed
audio-video-productions-&-services,RPD Media Associates LLC,,"335 Douglas Road, Chappaqua, NY 10514",https://www.rpdmedia.com/,Member Since: 2022,Processed
aviation,Atlantic Aviation,,"184 Airport Road, White Plains, NY 10604",https://www.atlanticaviation.com/,,Processed
bakeries,DeCicco & Sons,,"43 Fifth Ave, Pelham, NY 10803",https://www.deciccoandsons.com/,Member Since: 2017,Processed
bakeries,Zaro's Family Bakery,,"525 Executive Blvd. STE 160, Elmsford, NY 10523",https://www.zaro.com/,Member Since: 2023,Processed
banks,Apple Bank,,"1075 Central Park Avenue, Scarsdale, NY 10570",https://www.applebank.com/,Member Since: 2023,Processed
banks,Bank of America,,"360 Hamilton Avenue 2nd Floor, White Plains, NY 10601",https://www.bankofamerica.com/,Member Since: 2013,Processed
banks,JPMorgan Chase Bank,(914) 461-1197,"925 Westchester Avenue 3rd Floor, White Plains, NY 10604",https://www.jpmorgan.com/commercial-banking,Member Since: 1937,Processed
banks,KeyBank,,"1301 Avenue of the Americas 35th Floor, New York, NY 10019",https://www.keybank.com/,Member Since: 1975,Processed
banks,M&T Bank,(914) 366-8567,"120 White Plains Road Suite 300, Tarrytown, NY 10591",https://www.mtb.com/,Member Since: 1992,Processed
banks,Orange Bank & Trust Company,(914)-368-0229,"4 West Red Oak Lane Suite 310, White Plains, NY 10604",https://www.orangebanktrust.com/,Member Since: 2015,Processed
banks,PCSB Bank,,"2651 Strang Blvd Suite 100, Yorktown Heights, NY 10598",https://www.pcsb.com/,Member Since: 2007,Processed
banks,Peapack Private - A Division of Peapack-Gladstone Bank,,"800 Westchester Ave Suite N-641, Rye Brook, NY 10573",https://www.peapackprivate.com/,Member Since: 2004,Processed
banks,TD Bank,(914) 428-3526,"1133 Westchester Avenue Suite N-324, White Plains, NY 10604",https://www.tdbank.com/,Member Since: 2003,Processed
banks,The First Bank of Greenwich,,"500 Westchester Avenue , Port Chester , NY 10573",https://www.greenwichfirst.com/,Member Since: 2018,Processed
banks,Tompkins Community Bank,(845) 278-1054,"1441 Route 22, Brewster, NY 10509",https://www.tompkinsbank.com/,Member Since: 2005,Processed
banks,Valley National Bank,,"12 Water Street, White Plains, NY 10601",https://www.valley.com/,Member Since: 2023,Processed
banks,Webster Bank,(914) 298-2537,,https://www.websteronline.com/,Member Since: 2009,Processed
banks,Wells Fargo Bank,,"2500 Westchester Avenue Suite 201, Purchase, NY 10577",https://www.wellsfargo.com/,Member Since: 2016,Processed
banks,Citizens,,"437 Madison Avenue 18th Floor, New York, NY 10022",https://www.citizensbank.com/,Member Since: 2023,Processed
banks,Flagstar Bank N.A.,(914) 712-2220,"1C Quaker Ridge Road, New Rochelle, NY 10804",https://www.signatureny.com/,Member Since: 2015,Processed
banks,Mid Hudson Valley Federal Credit Union (MHVFCU),,"3 North Broad Street, Peekskill, NY 10566",https://www.mhvfcu.com/,Member Since: 2022,Processed
banks,Provident Bank,(201) 334-4170,,https://www.providentbank.com/,Member Since: 2023,Processed
beauty-health-products-&-services,Everyone's Earth,(720) 409-0994,"P.O. Box 645, Millwood, NY 10564",,Member Since: 2019,Processed
beverages,Freixenet Mionetto USA,(718) 596-3339,"81 Main Street Suite 303, White Plains, NY 10601",https://www.mwimportsusa.com/,Member Since: 2015,Processed
beverages,"Heineken USA, Inc.",(914) 681-4100,"360 Hamilton Avenue Suite 1103, White Plains, NY 10601",https://www.heinekenusa.com/,Member Since: 1995,Processed
beverages,Mike's Hard Lemonade Co.,(571) 445-3662,,https://www.mikeshardlemonade.com/,Member Since: 2011,Processed
beverages,"PepsiCo, Inc.",(914) 253-2000,"700 Anderson Hill Road, Purchase, NY 10577",https://www.pepsico.com/,Member Since: 1976,Processed
biotech,DynamixE,,"Rye, NY 10580",,Member Since: 2024,Processed
biotech,"Regeneron Pharmaceuticals, Inc.",,"777 Old Saw Mill River Road, Tarrytown, NY 10591",https://www.regeneron.com/,Member Since: 2010,Processed
biotech,Sapience Therapeutics,,"500 Mamaroneck Ave Suite 320, Harrison, NY 10528",https://www.sapiencetherapeutics.com/,Member Since: 2021,Processed
bookkeeping,Bota Group,,"75 South Broadway, White Plains, NY 10601",https://www.botaconsultinggroup.com/,Member Since: 2024,Processed
bookkeeping,SAEL Bookkeeping & Accounting,,"15 Pumphouse Rd Suite A, Brewster, NY 10509",https://www.bookkeeping-accountingservices.com/,Member Since: 2025,Processed
bookkeeping,Business of Your Business LLC (BYB),(914) 761-7380,"333 Westchester Avenue South Building, Suite 201, White Plains, NY 10604",https://www.thebyb.com/,Member Since: 2007,Processed
brand-strategy-&-management,C&A Digital,,"1 North Broadway Suite 1401, White Plains, NY 10601",https://www.cadigitalny.com/,Member Since: 2019,Processed
brand-strategy-&-management,Honeysett & Co.,(914) 500-9871,"2005 Palmer Avenue, Larchmont, NY 10538",https://honeysettco.com/,Member Since: 2025,Processed
brand-strategy-&-management,Ashworth Creative,,"70 Dutchess Landing Road Suite #9 , Poughkeepsie, NY 12601",https://www.ashworthcreative.com/,,Processed
branding,BrandCrudo,,,https://www.brandcrudo.com/,Member Since: 2025,Processed
branding,KDD Marketing,(845) 244-0337,"16 Lucas Ave Suite 105, Kingston, NY 12401",https://www.teamkdd.com/,Member Since: 2024,Processed
branding,Stories For Good,,"53 Avondale Rd, White Plains, NY 10605",https://www.thestoriesforgood.com/,Member Since: 2024,Processed
branding,TruBridge,(914) 714-4458,,https://www.trubridge.biz/,Member Since: 2024,Processed
branding,Pinsky Studio LLC,,"31 Mamaroneck Avenue Siute 403, White Plains, NY 10601",https://www.pinskystudio.com/,Member Since: 2022,Processed
building-services,STAR Building Services,,,https://www.starbuildingservices.com/,,Processed
business-advisory,360 Business Coach,,"2 Overhill Drive 4th Floor, Scarsdale, NY 10583",https://www.360businesscoach.com/,Member Since: 2024,Processed
business-advisory,CFGI,,"340 Madison Ave 3rd Floor, New York, NY 10173",https://www.cfgi.com/,Member Since: 2024,Processed
business-advisory,Feed Learning,,"Pleasantville, NY 10570",https://www.feedlearning.com/,Member Since: 2024,Processed
business-advisory,First Choice Business Brokers,(914) 295-2203,"169 Mamaroneck Avenue Suite 63, White Plains, NY 10601",https://www.westchesternorth.fcbb.com/,Member Since: 2025,Processed
business-advisory,First Choice Business Brokers - Westchester,,"565 Alda Road, Mamaroneck, NY 10543",https://westchestersouth.fcbb.com/,Member Since: 2025,Processed
business-advisory,Hustle Like a Mom,,"Scarsdale, NY 10583",https://www.hustlelikeamom.com/,Member Since: 2024,Processed
business-advisory,Masterpiece Accounting Services,,"92 North Ave Suite 4, New Rochelle, NY 10801",https://masterpieceaccounting.com/,Member Since: 2025,Processed
business-advisory,"Safian & Company, LLC - CEO Advisors",,"18 Cole Drive Third Floor, Armonk, NY 10504",https://www.safian.us/,Member Since: 2024,Processed
business-advisory,Schooley Mitchell,,"6 Baldwin Avenue, Larchmont, NY 10538",https://www.schooleymitchell.com/ssilhan,Member Since: 2025,Processed
business-advisory,The Big Picture Planâ„¢,(914) 478-9000,"P.O. Box 12, Hastings On Hudson, NY 10706",https://www.concinnityservices.com/big-picture-plan,Member Since: 2025,Processed
business-advisory,Westchester Business Advisors,,"245 Saw Mill River Road, Suite 106, Hawthorne, NY 10532",https://www.westchesterbusinessadvisors.com/,Member Since: 2024,Processed
business-advisory,Withum,,,https://www.withum.com/digital,Member Since: 2025,Processed
business-advisory,EGIS Partners,,"37 Greenridge Ave, White Plains, NY 10605",https://www.egispartners.com/,Member Since: 2023,Processed
business-brokers,Corbett Brands,,"46 5th Avenue Suite 500, New York City, NY 10151",https://www.corbettbrands.com/,Member Since: 2025,Processed
business-brokers,Fenwick Partners,,"Purchase, NY 10577",https://www.fenwickpartners.co/,Member Since: 2025,Processed
business-brokers,First Choice Business Brokers,(914) 295-2203,"169 Mamaroneck Avenue Suite 63, White Plains, NY 10601",https://www.westchesternorth.fcbb.com/,Member Since: 2025,Processed
business-brokers,First Choice Business Brokers - Westchester,,"565 Alda Road, Mamaroneck, NY 10543",https://westchestersouth.fcbb.com/,Member Since: 2025,Processed
business-financing,Community Capital New York,,"44 Executive Blvd Suite 203, Elmsford, NY 10523",https://www.communitycapitalny.org/,Member Since: 2011,Processed
business-financing,KeyBank,,"1301 Avenue of the Americas 35th Floor, New York, NY 10019",https://www.keybank.com/,Member Since: 1975,Processed
business-financing,Pursuit (formerly New York Business Development Corporation),,"118 N Bedford Road Suite 100, Mount Kisco, NY 10549",https://www.pursuitlending.com/,Member Since: 2007,Processed
business-services,Building Blocs Literacy,(845) 600-9767,"695 Hillside Rd, Wappingers Falls, NY 12590",https://www.smartplanhq.com/,Member Since: 2024,Processed
business-services,"Censullo, Gupta & Associates, CPA, LLP",,"80 Business Park Dr. Suite 208, Armonk, NY 10504",https://www.cgallp.com/,Member Since: 2020,Processed
business-services,Everly Talent LLC,(646) 591-3581,,https://www.everlytalent.com/,Member Since: 2025,Processed
business-services,Montano Wood Care Corp.,,"35 E. Grassy Sprain Road Suite 205, Yonkers, NY 10710",https://www.montanowood.com/,Member Since: 2019,Processed
business-services,"Skycore Builders, Inc.",,"44 S Broadway 11th Floor - Ste1101, White Plains, NY 10601",https://www.skycorebuilders.com/,Member Since: 2023,Processed
business-services,Snoop Investigations & Security,(845) 776-9177,"3 Snoop Street, Monroe, NY 10950",https://www.snoopinvestigates.com/,Member Since: 2024,Processed
business-services,The UPS Store #0084,(914) 328-2055,"455 Tarrytown Road, White Plains, NY 10607",https://theupsstorelocal.com/0084,Member Since: 2016,Processed
business-services,"United Corporate Services, Inc.",,"10 Bank Street Suite 560, White Plains, NY 10606",https://www.unitedcorporate.com/,Member Since: 2023,Processed
business-services,Westchester County Office of Economic Development,,"Michaelian Office Building 148 Martine Avenue, White Plains, NY 10601",https://westchestercatalyst.com/,Member Since: 2014,Processed
business-services,ZenBusiness,(844) 493-6249,,https://www.zenbusiness.com/,Member Since: 2025,Processed
business-services,"Bauer Office Solutions, Inc.",,"6 Westchester Plaza, Elmsford, NY 10523",https://www.bauerofficesolutions.com/,Member Since: 2020,Processed
business-services,Phibro RenewOil,,,https://www.phibro.com/,Member Since: 2023,Processed
business-software-developers,"Sent, Inc.",(347) 871-7109,"487 E Main St Ste 135, Mount Kisco, NY 10549",https://www.sent.dm/,Member Since: 2024,Processed
business-software-developers,"Play Nice Together, Inc.",(914) 347-2899,"PO Box 510, Elmsford, NY 10523",https://www.playnicetogether.com/,Member Since: 2017,Processed
business-solutions,"Balancing Life's Issues, Inc.",,"1 Depot Plaza, Ossining, NY 10562",https://balancinglifesissues.com/,Member Since: 2014,Processed
business-solutions,Building Blocs Literacy,(845) 600-9767,"695 Hillside Rd, Wappingers Falls, NY 12590",https://www.smartplanhq.com/,Member Since: 2024,Processed
business-solutions,COMPEL CEOs,,"Tarrytown, NY 10591",https://www.compelceos.com/,Member Since: 2024,Processed
business-solutions,Goldmine ATM Services LLC,(914) 863-4273,"Cortlandt Manor, NY 10567",,Member Since: 2024,Processed
business-solutions,Manufacturing and Technology Enterprise Center (MTEC),,,https://www.mfgtec.org/,Member Since: 2024,Processed
business-solutions,NuEnergen LLC,,"10 Bank Street Suite 600, White Plains, NY 10606",https://www.nuenergen.com/,Member Since: 2018,Processed
business-solutions,P3 Cost Analysts,,"5 Buckbee Place, Katonah, NY 10536",https://www.costanalysts.com/,Member Since: 2023,Processed
business-solutions,"Skycore Builders, Inc.",,"44 S Broadway 11th Floor - Ste1101, White Plains, NY 10601",https://www.skycorebuilders.com/,Member Since: 2023,Processed
business-solutions,Sonictel,,"272 N Bedford Rd, Mount Kisco, NY 10549",https://www.sonictel.com/,Member Since: 2023,Processed
business-solutions,Sykon Capital,,"500 Mamaroneck Ave Suite 435, Harrison, NY 10528",https://www.sykoncapital.com/,Member Since: 2023,Processed
camps,New Rochelle YMCA,,"50 Weyman Avenue, New Rochelle, NY 10805",https://www.nrymca.org/,Member Since: 2019,Processed
camps,Rye YMCA,,"21 Locust Ave, Rye, NY 10580",https://www.ryeymca.org/,Member Since: 2023,Processed
camps,YMCA of Central & Northern Westchester,(914) 287-2021,"148 Hamilton Avenue, White Plains, NY 10601",https://www.ymca-cnw.org/,Member Since: 2003,Processed
camps,YMCA of Yonkers,(914) 963-0183,"17 Riverdale Avenue, Yonkers, NY 10701",https://www.yoymca.org/,Member Since: 2006,Processed
camps,Boys & Girls Club of Mount Vernon,,"350 S 6th Avenue, Mount Vernon, NY 10550",https://bgcmvny.org/,Member Since: 2014,Processed
camps,Boys & Girls Clubs of Northern Westchester,(914) 666-8069,"351 E Main Street, Mount Kisco, NY 10549",https://www.bgcnw.com/,Member Since: 2004,Processed
cannabis,Smitty Buds dba Monarch Reserve,(508) 524-3040,"251 North Ave, New Rochelle, NY 10801",,Member Since: 2025,Processed
cannabis,The Plant,,"2595 Central Park, Yonkers, NY 10710",https://www.fanoftheplant.com/,Member Since: 2024,Processed
car-dealerships,The Premier Collection,,"262 East Main Street, Elmsford, NY 10523",https://www.thepremiercollection.com/,Member Since: 2018,Processed
car-wash-&-detailing,The Premier Collection,,"262 East Main Street, Elmsford, NY 10523",https://www.thepremiercollection.com/,Member Since: 2018,Processed
